title,artist,description
Bande Mein Tha Dum,Sonu Nigam,A powerful patriotic orchestral march with intense choral backing vocals and motivational lyrics detailing peaceful resilience.
Maula Mere Maula,Roopkumar Rathod,A slow burning hypnotic sufi romantic track driven by smooth rolling basslines and deeply spiritual love adoration.
Zara Zara,Bombay Jayashri,A sultry smooth R&B influenced romantic track layered with deep atmospheric ambient rains seductive whispers and an iconic flute melody.
Bhaag D.K. Bose,Ram Sampath,A chaotic high-octane punk rock anthem filled with distorted electric guitars aggressive shouting vocals and fast adrenaline pumping drums.
Ghanan Ghanan,A.R. Rahman,A majestic classical folk track mimicking gathering monsoon clouds with complex rhythmic group vocals and traditional clay percussion.
Khwaja Mere Khwaja,A.R. Rahman,A hypnotic deeply meditative sufi masterpiece featuring harmonium ripples and repetitive spiritual chants inducing absolute tranquility.
Aankhein Khuli,Udit Narayan,A massive energetic grand campus dance anthem featuring joyful violins heavy rhythmic drumming and multiple acoustic shifts.
Tere Bina,A.R. Rahman,A rhythmic semi-classical masterpiece blending heavy Arabic percussion deep bass synth pads and hauntingly soulful longing.
Dil Se Re,A.R. Rahman,A dark intense progressive rock track with heavy tribal percussive beats piercing electric guitar solos and desperate obsessive love vocals.
Chura Liya Hai Tumne,Asha Bhosle & Mohammed Rafi,A legendary retro acoustic romance song starting with iconic clinking glass sounds transitioning into a smooth bossa nova groove.
Give Me Some Sunshine,Suraj Jagan,A raw acoustic student anthem featuring melancholic guitar plucking and relatable lyrics about academic pressure and escaping to freedom.
Iktara,Amit Trivedi & Kavita Seth,A beautiful modern indie folk track blending soulful classical rustic vocals with a soft gentle acoustic pop backdrop.
Kaho Naa Pyaar Hai,Udit Narayan,An iconic millennial synth pop romantic track filled with futuristic electronic loops dreamlike echoes and catchy dance rhythms.
Kurbaan Hua,Vishal Dadlani,An aggressive dark alternative rock track featuring roaring distorted electric guitars and intense heavy metal energy about romantic sacrifice.
Main Koi Aisa Geet Gaoon,Abhijeet,A playful whimsical romantic track filled with lighthearted orchestrations acoustic guitars and charming theatrical storytelling.
Jeena Jeena,Atif Aslam,A smooth slow acoustic pop ballad featuring soulful falsetto vocal transitions and deep emotional romantic promises.
Mauja Hi Mauja,Mika Singh,A massive fast paced bhangra pop track explosive with heavy electronic synthesizers loud dhol beats and festive party club energy.
Nadaan Parindey,A.R. Rahman & Mohit Chauhan,A massive progressive sufi rock epic that shifts from quiet acoustic pleading into a wild chaotic electric guitar solo climax of a lost soul returning home.
Pee Loon,Mohit Chauhan,A silky smooth romantic sufi ballad driven by continuous warm harmonium notes and heavy slow tempo romantic syncopation.
Sadda Haq,Mohit Chauhan,An explosive rebellious hard rock anthem featuring heavy distorted guitar riffs thumping double bass drums and raw angry anti establishment shouting.
Senorita,Farhan Akhtar & Hrithik Roshan,An upbeat acoustic flamenco latin pop track featuring real spanish acoustic guitars rhythmic handclaps and playful conversational vocals.
Suraj Hua Maddham,Sonu Nigam & Alka Yagnik,A grand operatic desert romance ballad driven by rich sweeping violins echoing acoustic layers and majestic scale transitions.
Tujhe Kitna Chane Laga,Arijit Singh,A slow contemporary soft rock ballad featuring emotional acoustic guitar strumming and a deep sense of romantic vulnerability.
U r My Soniya,Sonu Nigam,A groovy retro futuristic dance club pop track with high pitch synth hooks deep bass drops and catchy electronic background vocals.
Yun Hi Chala Chal,Hariharan & Udit Narayan,An uplifting motivational road trip anthem featuring bright acoustic strums groovy basslines and a joyful continuous travel rhythm.
Galiyan,Ankit Tiwari,A highly intense dark romantic ballad powered by soft piano notes building into heavy distorted rock choruses of lonely heartbreak.
Bolna,Arijit Singh & Asees Kaur,A delicate floating acoustic love ballad layered with soft piano patterns and whispering harmonies perfect for a quiet calm night.
Aao Milo Chalo,Shaan,A cheerful lighthearted acoustic highway travel song full of breezy whistling segments and optimistic rhythmic guitars.
Baazigar O Baazigar,Kumar Sanu,An iconic dramatic 90s theatrical romance song driven by heavy string orchestras and intense vocal duets.
Beedi Jalaile,Sukhwinder Singh & Sunidhi Chauhan,A dirty raw rustic item number packed with wild clay dholak loops sharp woodwind instruments and smoky energetic folk vocals.
Bulleya,Amit Mishra,A high energy sufi rock anthem packed with fast electric guitar riffs thumping drums and passionate desperate screaming vocals about spiritual love.
Chand Sifarish,Shaan & Kailash Kher,A playful romantic qawwali pop fusion track featuring rapid harmonium runs joyful whistling and a lively upbeat dance tempo.
Dhoom Machale,Sunidhi Chauhan,An aggressive high speed electronic dance track loaded with biking sirens heavy techno synthesizer hooks and action packed adrenaline music.
Dil Diyan Gallan,Atif Aslam,A lush mature romantic waltz track featuring rich acoustic guitars gentle classical strings and an elegant slow dance rhythm.
Do Dil Mil Rahe Hain,Kumar Sanu,A soft acoustic storyteller romance song featuring delicate acoustic guitar plucking and a gentle nostalgic 90s aesthetic.
Ghar More Pardesiya,Shreya Ghoshal,A grand traditional Indian classical masterpiece rich with complex kathak dance bols heavy tabla patterns and operatic high pitch vocals.
Hawa Hawai,Kavita Krishnamurthy,An eccentric chaotic retro pop track filled with bizarre funny background gibberish heavy brass horns and joyful dance energy.
Heer Toh Badi Sad Hai,Mika Singh,A clever ironic upbeat bhangra track that uses happy dance tempos and loud dhol to narrate a funny story about a sad heartbroken girl.
Ilahi,Arijit Singh,A vibrant joyful traveler anthem driven by fast rhythmic acoustic guitars clapping backgrounds and a free spirited bohemian wandering energy.
Jiya Dhadak Dhadak,Rahat Fateh Ali Khan,A slow spiritual romantic masterclass fueled by soft classical tabla loops and an intensely soulful Pakistani sufi vocal delivery.
Kabhi Kabhi Aditi,Rashid Ali,A casual breezy college indie pop track led by happy acoustic guitar strumming light clapping and a comforting cheerful vibe.
Khaabon Ke Parinday,Mohit Chauhan,A sophisticated airy bossa nova jazz track layered with acoustic Spanish guitars subtle drum brushes and a serene cloud floating feeling.
Masakali,Mohit Chauhan,An eccentric quirky acoustic track utilizing playful accordion rhythms rhythmic pigeon cooing sounds and a lighthearted free spirit philosophy.
Namaste London Dilamo Dilamo,Rahat Fateh Ali Khan,A modern hip hop meets heavy traditional punjabi sufi track mixing deep electronic sub bass with high pitch mournful longing.
O Humdum Suniyo Re,KK,A futuristic early 2000s electronic pop track full of heavy vocoder vocal effects fast synth basslines and energetic video game beats.
Paani Da Rang,Ayushmann Khurrana,A gentle soulful Punjabi acoustic indie ballad featuring raw expressive acoustic guitar picking and soft rain elements of heartbreak.
Pardesi Pardesi,Udit Narayan & Alka Yagnik,A massive highly dramatic 90s folk pop tragedy track packed with crying violins traditional dholak loops and intense emotional longing.
Phir Se Ud Chala,Mohit Chauhan,A multi structural abstract composition capturing flight freedom and self discovery through soaring vocal scales and dreamlike ambient acoustics.
Radha,Shreya Ghoshal & Udit Narayan,A massive modern commercial dance track explosive with heavy electronic synthesizers traditional dholak patterns and highly energetic festive vocals.
Ranjha,B Praak & Jasleen Royal,A deeply atmospheric modern punjabi war romance ballad featuring slow emotional strings and heavy heart wrenching acoustic tones.
Sajdaa,Rahat Fateh Ali Khan & Shankar Mahadevan,A grand majestic classical sufi masterpiece blending thunderous group qawwali claps with electric guitars and dense orchestration.
Subah Subah,Arijit Singh,A bright fresh morning road trip song full of crisp clean acoustic guitar tones happy rhythms and a sunshine aesthetic.
Te Amo,Ash King,A smooth romantic acoustic bossa nova pop track with a gentle international acoustic rhythm and dreamy soft vocals.
Tera Ban Jaunga,Akhil Sachdeva,A passionate contemporary romantic duet building up with soft guitars into an intense vocal commitment promise.
Urva Urva,A.R. Rahman,An avant garde retro techno track with funky slap basslines bizarre vocal effects and highly erratic dance energy.
Watan Walo Watan Na Bech De,Roopkumar Rathod,A slow tragic highly emotional patriotic crying track with somber string arrangements about national identity.
Yeh Jawaani Hai Deewani Badtameez Dil,Benny Dayal,A wildly energetic jazz pop big band track explosive with frantic trumpet brass sections fast drums and manic dance energy.
Zandis Se,A.R. Rahman,An atmospheric dark synth anthem layered with echoing vocals military style snare drums and deep artistic intensity.
Matargashti,Mohit Chauhan,A quirky playful theatrical pop track utilizing vintage European street music accordion loops and funny vocal impressions.
Safarnama,Lucky Ali,A deeply soulful minimalist acoustic traveler track with warm comforting vocals and gentle background synth pads about self reflection.
Agar Tum Saath Ho,Alha Yagnik & Arijit Singh,An agonizingly intense masterpiece tracking a painful emotional conversation with sweeping sad violins and raw crying vocal transitions.
Ghoomar,Shreya Ghoshal,A royal traditional rajasthani folk track packed with massive heavy thumping nagada drums complex classical structures and echoing chakor chants.
Main Yahaan Hoon,Udit Narayan,A sweeping classical gothic romance ballad featuring dramatic echoing string sections and an obsessive omnipresent lover concept.
Kalank Title Track,Arijit Singh,An incredibly grand tragic symphonic ballad layered with complex operatic backing vocals massive orchestral sweeps and a deep theme of dark romance.
Zaalima,Arijit Singh & Harshdeep Kaur,A smooth flowing modern arabic influenced romantic track with a soft groovy electronic bassline and sweet seductive vocals.
Dilbar,Neha Kakkar,A modern high bass electronic belly dance remake loaded with aggressive modern techno drop sequences synth lines and fast rhythms.
Bekhayali,Sachet Tandon,An intensely aggressive metal rock heartbreak anthem loaded with screaming vocals heavy distorted guitar walls and chaotic exploding drums.
Shayad,Arijit Singh,A tender contemporary soft pop track with delicate acoustic plucking and a deeply innocent nostalgic school romance vibe.
Raatan Lambiyan,Jubin Nautiyal & Asees Kaur,A beautiful slow contemporary punjabi romance track filled with sweet ambient synthesizers and a comforting slow dance rhythm.
Kesariya,Arijit Singh,A bright sweeping romantic anthem driven by rich acoustic guitar backdrops classical backing alaps and a vibrant celebratory love theme.
Apna Bana Le,Arijit Singh,A deeply emotional soulful romantic track featuring slow rolling ambient loops building into a powerful passionate vocal crescendo.
Tere Vaaste,Varun Jain,A catchy upbeat modern mid-tempo pop track with a highly infectious electronic dance hook and modern lofi textures.
Heeriye,Arijit Singh & Jasleen Royal,A dreamy modern indie pop ballad layered with ethereal twinkling synth bells smooth acoustic strums and a fantasy romance feel.
Satranga,Arijit Singh,A highly complex progressive tragic track detailing marital distress and guilt with crying acoustic strings and changing vocal tempos.
Pehle Bhi Main,Raj Shekhar,A slow atmospheric dark alternative pop track featuring deep throbbing bass guitars and a hypnotic haunting vocal delivery about obsession.
O Maahi,Arijit Singh,A pure graceful slow contemporary romance track with sweeping ambient strings and a deep peaceful sense of unconditional devotion.
Vida Karo,Arijit Singh,A deeply somber slow minimalist masterpiece featuring a tragic solo harmonium and mournful poetic verses about death and departures.
Chorni,Divine & Sidhu Moose Wala,A hard hitting high energy aggressive hip hop track mixing heavy modern trap sub bass 808s with fierce traditional punjabi rap verses.
Tu Hai Kahan,Raffey Anwar,A dreamlike echoing lofi indie pop track packed with vintage synthesizer warmth soft falsettos and a highly nostalgic midnight aesthetic.
Choo Lo,The Local Train,An iconic indie rock anthem starting with a beautiful clean electric guitar melody building into an explosive emotional stadium rock chorus.
Aftab,The Local Train,A rich progressive hindi indie rock ballad layered with heavy ambient guitar delay lines and deep poetic philosophical lifecycles.
Kasoor,Prateek Kuhad,A sweet minimalist bedroom pop track driven completely by a soft clean electric guitar and whispering intimate romantic vocals.
Baarishein,Anuv Jain,A beautiful raw acoustic storyteller ballad centered entirely around an acoustic guitar and emotional deep vocals mimicking gentle rainfall.
Gul,Anuv Jain,An uplifting gentle indie acoustic pop song full of magical storytelling imagery light cheerful fingerpicking and a cozy evening vibe.
Alag Aasman,Anuv Jain,A soothing long distance acoustic romance ballad featuring a tender solo acoustic guitar and comforting whispered vocal promises.
